,county_name,fips,population,Date,dailycases_p100k_7d_avg,R_mean,R_low,R_high
0,Adams,42001,103009,2020-11-12,25.57142857142857,1.1947990729442701,1.0521860998194301,1.34495711357418
1,Allegheny,42003,1216045,2020-11-12,307.42857142857144,1.3371968908554999,1.2901501749678301,1.3849497811101898
2,Armstrong,42005,64735,2020-11-12,30.714285714285715,1.23637958600745,1.10133605885646,1.3779298114862002
3,Beaver,42007,163929,2020-11-12,36.857142857142854,1.47742336265217,1.32973333866039,1.63159802724679
4,Bedford,42009,47888,2020-11-12,30.714285714285715,1.20468410691324,1.0731025176169902,1.3426055906502101
5,Berks,42011,421164,2020-11-12,120.14285714285714,1.1371910307550201,1.07350581165777,1.2024118033841398
6,Blair,42013,121829,2020-11-12,70.28571428571429,1.2101532392891299,1.12192155690879,1.3011756483555201
7,Bradford,42015,60323,2020-11-12,30.857142857142854,0.9817885050299859,0.8747938327739251,1.0939262339520501
8,Bucks,42017,628270,2020-11-12,190.57142857142856,1.43899446408667,1.3748323119136598,1.50438216839813
9,Butler,42019,187853,2020-11-12,89.0,1.4005134346033001,1.30958754352145,1.4939910665090002
10,Cambria,42021,130192,2020-11-12,64.0,1.2506569581046798,1.1551833128666102,1.3492973333934701
11,Cameron,42023,4447,2020-11-12,0.2857142857142857,1.1509940490506498,0.31371932988177603,2.41547366427524
12,Carbon,42025,64182,2020-11-12,21.428571428571427,1.44953350895769,1.26111307276218,1.6488650036012802
13,Centre,42027,162385,2020-11-12,62.28571428571429,1.23749969209246,1.14176454171436,1.33645429039245
14,Chester,42029,524989,2020-11-12,99.71428571428572,1.32579633929197,1.2444054380096898,1.40934368144826
15,Clarion,42031,38438,2020-11-12,18.0,1.3831610793316298,1.18765740660052,1.59104288193017
16,Clearfield,42033,79255,2020-11-12,22.428571428571423,1.51170668684513,1.3194753188155501,1.71481314703269
17,Clinton,42035,38632,2020-11-12,9.142857142857142,1.41359874150572,1.13807998717454,1.71382453057946
18,Columbia,42037,64964,2020-11-12,10.714285714285714,1.29527571637102,1.06095169514803,1.5489643766853503
19,Crawford,42039,84629,2020-11-12,30.714285714285715,1.5033196699739098,1.3391196193047599,1.67543124530218
20,Cumberland,42041,253370,2020-11-12,70.42857142857143,1.4017215345706897,1.29962450825162,1.50704451919573
21,Dauphin,42043,278299,2020-11-12,80.14285714285714,1.1924291871461001,1.11091741958244,1.27635322515924
22,Delaware,42045,566747,2020-11-12,193.57142857142856,1.2409614165294198,1.18605517552834,1.2969081831948501
23,Elk,42047,29910,2020-11-12,11.142857142857142,1.13217877873018,0.9311153024624409,1.34952623502888
24,Erie,42049,269728,2020-11-12,76.57142857142857,1.4158840364159,1.31690478266182,1.5178609418387903
25,Fayette,42051,129274,2020-11-12,17.0,1.07223128581654,0.916469052248104,1.23814857632153
26,Forest,42053,7247,2020-11-12,0.5714285714285714,1.62131718348254,0.6388474697451251,2.96815153744438
27,Franklin,42055,155027,2020-11-12,56.0,1.2873559142676798,1.18243601252605,1.39599988566176
28,Fulton,42057,14530,2020-11-12,3.1428571428571432,0.928260959307747,0.634425910998607,1.26787573295729
29,Greene,42059,36233,2020-11-12,11.714285714285715,1.20924650658951,0.9995126309157341,1.4355351797053502
30,Huntingdon,42061,45144,2020-11-12,20.285714285714285,0.9692591698348041,0.8399010995698459,1.10632114120888
31,Indiana,42063,84073,2020-11-12,40.142857142857146,1.1423533524683998,1.03281016224236,1.2565016471313402
32,Jefferson,42065,43425,2020-11-12,12.285714285714285,1.16671034134709,0.968865845558583,1.37979340167933
33,Juniata,42067,24763,2020-11-12,16.428571428571427,2.03939058489128,1.7382436202058402,2.36051825222556
34,Lackawanna,42069,209674,2020-11-12,35.285714285714285,1.10592913745576,0.9930069303040491,1.22392069484534
35,Lancaster,42071,545724,2020-11-12,156.14285714285714,1.24496458681542,1.1837061625915601,1.30751687832727
36,Lawrence,42073,85512,2020-11-12,45.42857142857143,1.1565822200871598,1.05216850206949,1.26511770708599
37,Lebanon,42075,141793,2020-11-12,58.714285714285715,1.05958379629839,0.975206008163442,1.1468854174543799
38,Lehigh,42077,369318,2020-11-12,141.0,1.37431159465341,1.3031936369208001,1.44701107722832
39,Luzerne,42079,317417,2020-11-12,111.57142857142857,1.36533434104877,1.2860303657697199,1.4466233768194101
40,Lycoming,42081,113299,2020-11-12,23.142857142857146,1.5044532975146498,1.31601454332272,1.7033830831499401
41,McKean,42083,40625,2020-11-12,7.142857142857142,1.1596652161757701,0.906101908416635,1.43905526396817
42,Mercer,42085,109424,2020-11-12,54.85714285714285,1.44155000949563,1.32287140611351,1.56448537569507
43,Mifflin,42087,46138,2020-11-12,36.42857142857143,1.6277075200710702,1.4640656665171798,1.79857733880311
44,Monroe,42089,170271,2020-11-12,33.0,1.29134646443672,1.15512942821148,1.4338908952236797
45,Montgomery,42091,830915,2020-11-12,222.0,1.35673718999703,1.3006451847471798,1.4138212182918999
46,Montour,42093,18230,2020-11-12,5.7142857142857135,1.3433852113731999,1.0178975656064,1.7060785471904298
47,Northampton,42095,305285,2020-11-12,90.14285714285714,1.3011888324754,1.21724010461003,1.38747832417164
48,Northumberland,42097,90843,2020-11-12,25.0,1.12743117526991,0.9913814579370621,1.27076229697404
49,Perry,42099,46272,2020-11-12,8.714285714285714,1.43573623871739,1.14954574251575,1.7482338414237402
50,Philadelphia,42101,1584064,2020-11-12,656.5714285714286,1.27423283071982,1.2434783842467099,1.3053024441713301
