,county_name,fips,population,Date,dailycases_p100k_7d_avg,R_mean,R_low,R_high
0,Adams,42001,103009,2020-10-22,11.714285714285715,1.1501756966938201,0.950687167879518,1.36541033316921
1,Allegheny,42003,1216045,2020-10-22,122.42857142857143,1.08502972155034,1.0248279240867901,1.14666931906442
2,Armstrong,42005,64735,2020-10-22,9.0,1.08621391587736,0.8729375408705211,1.31877164360872
3,Beaver,42007,163929,2020-10-22,15.0,1.1961530210251399,1.01167986692275,1.39345036572077
4,Bedford,42009,47888,2020-10-22,6.2857142857142865,1.11228408147267,0.854308702863296,1.3983298097054397
5,Berks,42011,421164,2020-10-22,85.28571428571429,1.1367750305828102,1.06140793338657,1.21430338061124
6,Blair,42013,121829,2020-10-22,21.428571428571427,1.09907131230958,0.956206387286734,1.25020926534668
7,Bradford,42015,60323,2020-10-22,21.285714285714285,1.16229783790115,1.01072693113829,1.3226760022468
8,Bucks,42017,628270,2020-10-22,39.857142857142854,0.994466926460687,0.8987724360927841,1.09419898481003
9,Butler,42019,187853,2020-10-22,22.57142857142857,1.13482752611635,0.99096179768351,1.28680578193232
10,Cambria,42021,130192,2020-10-22,19.285714285714285,1.0778493185200002,0.9304611881282091,1.234245222394
11,Cameron,42023,4447,2020-10-22,0.0,4.9991364329407695,0.25642217673836,14.976074352060198
12,Carbon,42025,64182,2020-10-22,4.571428571428571,1.0973850748225,0.8031757693863351,1.42934252097734
13,Centre,42027,162385,2020-10-22,33.57142857142857,0.9033420409615458,0.8088449299228092,1.00219038225385
14,Chester,42029,524989,2020-10-22,34.42857142857143,0.9453279587592129,0.84764307773627,1.04745343777745
15,Clarion,42031,38438,2020-10-22,3.7142857142857135,1.31351558168595,0.927152710000114,1.7550809945211001
16,Clearfield,42033,79255,2020-10-22,6.142857142857142,1.5516216496675501,1.18792919598889,1.9553607055064801
17,Clinton,42035,38632,2020-10-22,2.0,1.1014626492378001,0.678965845221298,1.60714311707312
18,Columbia,42037,64964,2020-10-22,3.4285714285714284,1.0299643073526301,0.716118768116606,1.39055082641543
19,Crawford,42039,84629,2020-10-22,9.285714285714286,1.4979262732767,1.20808476248185,1.81355235343671
20,Cumberland,42041,253370,2020-10-22,30.142857142857146,1.16867383662361,1.03985737236904,1.3037566992146798
21,Dauphin,42043,278299,2020-10-22,33.142857142857146,1.06195430985522,0.9501694076890319,1.17892029408043
22,Delaware,42045,566747,2020-10-22,73.71428571428571,1.13921827280475,1.0580781753834598,1.22286357061868
23,Elk,42047,29910,2020-10-22,5.857142857142858,1.59474197969203,1.2126923289165499,2.0199085494963898
24,Erie,42049,269728,2020-10-22,13.0,0.959586461570379,0.80116852295852,1.12985693832511
25,Fayette,42051,129274,2020-10-22,8.285714285714286,1.0827715811221998,0.8617970550879029,1.32459367563242
26,Forest,42053,7247,2020-10-22,0.14285714285714285,1.33936652785736,0.237979656359307,3.17688667431127
27,Franklin,42055,155027,2020-10-22,12.857142857142858,1.0010827899151602,0.834945120560558,1.17972134680815
28,Fulton,42057,14530,2020-10-22,0.42857142857142855,0.941735251467832,0.32167754973708196,1.82547292003198
29,Greene,42059,36233,2020-10-22,1.5714285714285714,1.0514847467999,0.606725320136309,1.5954102926639098
30,Huntingdon,42061,45144,2020-10-22,26.42857142857143,1.34824057025323,1.18985795176484,1.51486266171381
31,Indiana,42063,84073,2020-10-22,12.571428571428573,1.10378979200125,0.918643709569785,1.3030288518703799
32,Jefferson,42065,43425,2020-10-22,1.5714285714285714,1.13304799827721,0.6537887606803001,1.7191656312991799
33,Juniata,42067,24763,2020-10-22,2.2857142857142856,1.68698473062933,1.0749209047689,2.41151328297242
34,Lackawanna,42069,209674,2020-10-22,47.0,1.0264779133877,0.9353359136658481,1.12115610600701
35,Lancaster,42071,545724,2020-10-22,52.85714285714285,1.029860439073,0.9435200996087151,1.11935660146875
36,Lawrence,42073,85512,2020-10-22,13.714285714285715,1.06496270158955,0.893560521711966,1.24884133113972
37,Lebanon,42075,141793,2020-10-22,37.857142857142854,1.14967199799393,1.0362334102589301,1.26802390995552
38,Lehigh,42077,369318,2020-10-22,29.857142857142854,1.2193058932486398,1.0842864025172199,1.3609255195546102
39,Luzerne,42079,317417,2020-10-22,55.14285714285714,1.2917223191095502,1.1856486447638401,1.40159061949925
40,Lycoming,42081,113299,2020-10-22,7.428571428571429,0.9159501808034491,0.719282384885113,1.13224799882143
41,McKean,42083,40625,2020-10-22,3.0,1.0949124725028,0.7412427313688001,1.50502902425063
42,Mercer,42085,109424,2020-10-22,12.285714285714285,1.22961771504448,1.02110572348648,1.45418991302286
43,Mifflin,42087,46138,2020-10-22,7.2857142857142865,1.30276565357394,1.02051354232505,1.6134741085930702
44,Monroe,42089,170271,2020-10-22,9.0,1.21839662062757,0.9791663817495021,1.4792545837110702
45,Montgomery,42091,830915,2020-10-22,49.57142857142857,1.05304868516167,0.9619496722940741,1.1475878147218102
46,Montour,42093,18230,2020-10-22,3.8571428571428568,0.9267741589769509,0.6586927786181149,1.2324164016636898
47,Northampton,42095,305285,2020-10-22,32.285714285714285,1.1145501587670401,0.995726244667665,1.23895545357482
48,Northumberland,42097,90843,2020-10-22,12.142857142857142,1.1709908983786101,0.9713172251347441,1.38613677488107
49,Perry,42099,46272,2020-10-22,6.0,0.967782331798673,0.738477315330945,1.22264547915016
50,Philadelphia,42101,1584064,2020-10-22,241.57142857142856,1.07166772849314,1.02917722809777,1.11487836973055
51,Pike,42103,55809,2020-10-22,0.8571428571428571,0.900293189167445,0.422535334525386,1.5230897356143103
52,Potter,42105,16526,2020-10-22,0.8571428571428571,1.38573196971009,0.6503667121212379,2.3443408933592202
