,county_name,fips,population,Date,dailycases_p100k_7d_avg,R_mean,R_low,R_high
0,Adams,42001,103009,2020-11-07,19.857142857142858,1.25305825681734,1.08409855373207,1.4321909004107902
1,Allegheny,42003,1216045,2020-11-07,190.0,1.19952007113792,1.14595612322193,1.2541086874595901
2,Armstrong,42005,64735,2020-11-07,22.714285714285715,1.11961560406283,0.9781094291032522,1.26907555448727
3,Beaver,42007,163929,2020-11-07,23.285714285714285,1.2149217450790701,1.06319904013366,1.37506484421388
4,Bedford,42009,47888,2020-11-07,23.42857142857143,1.30894677246652,1.1459636152872499,1.4809470295288798
5,Berks,42011,421164,2020-11-07,102.28571428571428,1.04839910487699,0.9848397855677778,1.1136208652026
6,Blair,42013,121829,2020-11-07,62.85714285714285,1.13411099796224,1.04676609099118,1.22437962105576
7,Bradford,42015,60323,2020-11-07,32.42857142857143,0.967120265546753,0.8642348939195981,1.0748274903080401
8,Bucks,42017,628270,2020-11-07,106.85714285714286,1.2288144948113,1.1559051268191498,1.30358914552954
9,Butler,42019,187853,2020-11-07,55.14285714285714,1.32646264183699,1.21753616110623,1.43928580346628
10,Cambria,42021,130192,2020-11-07,47.42857142857143,1.30935363255845,1.19360917111652,1.4295681570096699
11,Cameron,42023,4447,2020-11-07,0.5714285714285714,1.17588908150505,0.463335473202618,2.15270461615437
12,Carbon,42025,64182,2020-11-07,13.714285714285715,1.4686047502109,1.2322377345501598,1.7221770381573103
13,Centre,42027,162385,2020-11-07,47.57142857142857,1.25323477508164,1.14261376597211,1.3681214527037902
14,Chester,42029,524989,2020-11-07,67.28571428571429,1.15032992211117,1.06464523803323,1.23878538687713
15,Clarion,42031,38438,2020-11-07,10.0,1.31720877773801,1.07104952902517,1.5844462994217399
16,Clearfield,42033,79255,2020-11-07,12.714285714285715,1.28258617368774,1.06859930250176,1.5127670172725
17,Clinton,42035,38632,2020-11-07,6.7142857142857135,1.61640863495066,1.2527257015346398,2.01833772251927
18,Columbia,42037,64964,2020-11-07,7.857142857142858,1.2875787514471102,1.0182262701404399,1.5830489188717698
19,Crawford,42039,84629,2020-11-07,18.857142857142858,1.0875367350854699,0.9372106226108939,1.24715650558797
20,Cumberland,42041,253370,2020-11-07,36.142857142857146,1.28179092523501,1.1524312144487199,1.4168873394436599
21,Dauphin,42043,278299,2020-11-07,65.0,1.13071112965122,1.04504779103503,1.21919354443026
22,Delaware,42045,566747,2020-11-07,139.57142857142858,1.1769308356622,1.1157199184142799,1.23950998444474
23,Elk,42047,29910,2020-11-07,12.142857142857142,1.404926148328,1.1653625743826899,1.66305289211548
