,county_name,fips,population,Date,dailycases_p100k_7d_avg,R_mean,R_low,R_high
0,Adams,42001,103009,2020-11-16,22.714285714285715,1.02785225677739,0.8979438839819899,1.16506251607007
1,Allegheny,42003,1216045,2020-11-16,410.0,1.3043765745087499,1.2645947201216299,1.3446750036144
2,Armstrong,42005,64735,2020-11-16,39.142857142857146,1.19282552002723,1.07702784102242,1.3135541448856298
3,Beaver,42007,163929,2020-11-16,50.85714285714285,1.30433959343699,1.1929052106399498,1.41992760936663
4,Bedford,42009,47888,2020-11-16,41.0,1.1960727737681698,1.08255332069809,1.31431345499504
5,Berks,42011,421164,2020-11-16,153.0,1.2100201398701003,1.14987993730014,1.2714436992800702
6,Blair,42013,121829,2020-11-16,92.14285714285714,1.2099875614516,1.13276134974906,1.28934330207894
7,Bradford,42015,60323,2020-11-16,37.42857142857143,1.14944554107459,1.0353989100760899,1.26846055142239
8,Bucks,42017,628270,2020-11-16,252.28571428571428,1.2689298769396697,1.2196883547416002,1.3189879050068898
9,Butler,42019,187853,2020-11-16,86.85714285714286,1.1097019193633701,1.03678746799522,1.1846880474647499
10,Cambria,42021,130192,2020-11-16,89.7142857142857,1.2723121593412299,1.19003375319997,1.3568902973536798
11,Cameron,42023,4447,2020-11-16,0.2857142857142857,1.25654723721793,0.34248930961019797,2.6369873605525
12,Carbon,42025,64182,2020-11-16,26.142857142857146,1.24754432574954,1.10021833509452,1.40257725270928
13,Centre,42027,162385,2020-11-16,71.28571428571429,1.14006191962765,1.0575150101414799,1.22520111538724
14,Chester,42029,524989,2020-11-16,135.0,1.3838905616842199,1.31072270553628,1.4587216669700802
15,Clarion,42031,38438,2020-11-16,26.42857142857143,1.3907674611654801,1.2273890574385602,1.5626452315185702
16,Clearfield,42033,79255,2020-11-16,37.142857142857146,1.38385613718373,1.2460384616323201,1.52770123817653
17,Clinton,42035,38632,2020-11-16,10.142857142857142,1.18596090448733,0.965802757251905,1.42483368335688
18,Columbia,42037,64964,2020-11-16,10.857142857142858,1.03696484301442,0.8505390526743921,1.23869227905496
19,Crawford,42039,84629,2020-11-16,50.85714285714285,1.4299518890774798,1.3077859999251498,1.5566714202217902
20,Cumberland,42041,253370,2020-11-16,85.57142857142857,1.17758136383493,1.0996371588845901,1.2577569410898701
21,Dauphin,42043,278299,2020-11-16,87.42857142857143,1.1199357377188701,1.04658584061138,1.1953627750929
22,Delaware,42045,566747,2020-11-16,214.85714285714286,1.09592398919221,1.0498751987645,1.14280072150962
23,Elk,42047,29910,2020-11-16,13.571428571428573,1.34370897310835,1.12636399003553,1.57695991286398
24,Erie,42049,269728,2020-11-16,112.57142857142857,1.30810058654299,1.23245445639153,1.3856316929716799
25,Fayette,42051,129274,2020-11-16,28.57142857142857,1.42503391787915,1.2638304755024299,1.5942964055042699
26,Forest,42053,7247,2020-11-16,0.8571428571428571,1.4518162780086898,0.681382114270009,2.45614039697187
27,Franklin,42055,155027,2020-11-16,67.85714285714286,1.1791883696194199,1.09171779319756,1.26947537231521
28,Fulton,42057,14530,2020-11-16,4.428571428571429,1.11925944980455,0.814871687275318,1.46334884845547
29,Greene,42059,36233,2020-11-16,17.571428571428573,1.3850702105580601,1.18702261315549,1.59581277550859
30,Huntingdon,42061,45144,2020-11-16,23.285714285714285,1.04227302848628,0.912111161012833,1.17965869435528
31,Indiana,42063,84073,2020-11-16,50.57142857142857,1.2388131204680601,1.1326849523529,1.3489084762530401
32,Jefferson,42065,43425,2020-11-16,17.857142857142858,1.33424756966539,1.14493588379103,1.53559437467374
33,Juniata,42067,24763,2020-11-16,14.857142857142858,1.1227275285958,0.9487862633102429,1.30882035379972
34,Lackawanna,42069,209674,2020-11-16,37.57142857142857,1.03007880046091,0.9280649573710258,1.13652820865709
35,Lancaster,42071,545724,2020-11-16,211.85714285714286,1.2797959496302,1.22564553246955,1.3349269005081001
36,Lawrence,42073,85512,2020-11-16,42.714285714285715,1.06595610754754,0.9667867898300649,1.16916477270657
37,Lebanon,42075,141793,2020-11-16,63.714285714285715,1.07624265940646,0.993903146043234,1.16131946790385
38,Lehigh,42077,369318,2020-11-16,152.57142857142858,1.1271239928540802,1.07102618527356,1.1844205916283999
39,Luzerne,42079,317417,2020-11-16,128.28571428571428,1.14375596462448,1.08174230114098,1.20721613023718
40,Lycoming,42081,113299,2020-11-16,32.285714285714285,1.19403274950397,1.0667350736274102,1.32730983447295
41,McKean,42083,40625,2020-11-16,10.571428571428571,1.1721901773774899,0.95878729302523,1.4033510360183399
42,Mercer,42085,109424,2020-11-16,69.71428571428571,1.26063445683269,1.16835320134156,1.35584663108569
43,Mifflin,42087,46138,2020-11-16,36.285714285714285,1.03565444434452,0.931335497435264,1.14459032857652
44,Monroe,42089,170271,2020-11-16,44.42857142857143,1.2134214343453502,1.1026796707400501,1.32858453099442
45,Montgomery,42091,830915,2020-11-16,281.57142857142856,1.2172005488868602,1.17246877585701,1.26263412431571
46,Montour,42093,18230,2020-11-16,3.571428571428572,0.822191470346514,0.576120524288797,1.10414243437102
47,Northampton,42095,305285,2020-11-16,112.42857142857143,1.2027779425554,1.13317895741177,1.27411233312702
48,Northumberland,42097,90843,2020-11-16,26.142857142857146,1.00773502994754,0.8887287882129291,1.13296674161339
49,Perry,42099,46272,2020-11-16,8.857142857142858,1.03570837581845,0.830820523500744,1.2592726272201202
50,Philadelphia,42101,1584064,2020-11-16,835.1428571428571,1.28034370380397,1.2529272743396398,1.3080091112773602
51,Pike,42103,55809,2020-11-16,7.428571428571429,1.1251641878843401,0.8835751085707081,1.3908670217850603
