,county_name,fips,population,Date,dailycases_p100k_7d_avg,R_mean,R_low,R_high
0,Adams,42001,103009,2020-11-01,14.285714285714285,1.03970561562526,0.8755880329249509,1.2155216138662701
1,Allegheny,42003,1216045,2020-11-01,145.42857142857142,1.1163794019263602,1.05948456200689,1.17451986337716
2,Armstrong,42005,64735,2020-11-01,20.142857142857142,1.28105485151959,1.10950231996778,1.46286118764586
3,Beaver,42007,163929,2020-11-01,14.571428571428573,1.14342733767234,0.9646318712641591,1.33483857888002
4,Bedford,42009,47888,2020-11-01,11.428571428571427,1.49890669299971,1.23588063859538,1.78295937591519
5,Berks,42011,421164,2020-11-01,103.42857142857143,1.01295428918043,0.9518790406392521,1.07561805141387
6,Blair,42013,121829,2020-11-01,41.857142857142854,1.5661539160150502,1.4190019612058502,1.71936177020818
7,Bradford,42015,60323,2020-11-01,35.42857142857143,1.2039926941630301,1.08129892182007,1.3321831605488899
8,Bucks,42017,628270,2020-11-01,72.14285714285714,1.10421870775627,1.02473483653459,1.18618359555853
9,Butler,42019,187853,2020-11-01,41.42857142857143,1.2557594784908501,1.13717784052356,1.3792468526562602
10,Cambria,42021,130192,2020-11-01,28.142857142857146,1.14669488682394,1.0160246971088298,1.28394825090375
11,Cameron,42023,4447,2020-11-01,0.2857142857142857,2.22312387049181,0.605943124962393,4.665443028157901
12,Carbon,42025,64182,2020-11-01,6.2857142857142865,1.1430818098242401,0.877963421830706,1.43704777964005
13,Centre,42027,162385,2020-11-01,36.57142857142857,0.826861715548749,0.7438911978421999,0.913489694777938
14,Chester,42029,524989,2020-11-01,52.14285714285714,1.0560978951468198,0.966966643508424,1.1485095738522
15,Clarion,42031,38438,2020-11-01,5.0,1.0488314576033,0.77879134178843,1.3519476875493899
16,Clearfield,42033,79255,2020-11-01,8.0,0.9924841632722579,0.7865969047836929,1.2181504579562799
17,Clinton,42035,38632,2020-11-01,3.8571428571428568,1.2471268867511298,0.886379347510371,1.65841873697096
18,Columbia,42037,64964,2020-11-01,4.428571428571429,1.1539016122859398,0.8400927541128691,1.50864091061676
19,Crawford,42039,84629,2020-11-01,17.714285714285715,1.19766139340974,1.02707402842413,1.37913823620745
20,Cumberland,42041,253370,2020-11-01,27.142857142857146,1.0985572246698299,0.9711603398275269,1.23249199973006
21,Dauphin,42043,278299,2020-11-01,49.85714285714285,1.09372475022955,0.9993723002732471,1.19162978414496
22,Delaware,42045,566747,2020-11-01,122.42857142857143,1.18200832844571,1.1164257692070199,1.2491571965150299
23,Elk,42047,29910,2020-11-01,6.2857142857142865,1.3942736894716599,1.07089561644349,1.75283859164365
24,Erie,42049,269728,2020-11-01,38.142857142857146,1.35734542089331,1.2239050348298999,1.49654337866922
25,Fayette,42051,129274,2020-11-01,11.571428571428573,1.14138618263068,0.942270030840462,1.35631854336576
26,Forest,42053,7247,2020-11-01,0.0,0.82766986524885,0.0424539140539136,2.47947732717406
27,Franklin,42055,155027,2020-11-01,31.0,1.2730416783223202,1.13461699820817,1.41810454917941
28,Fulton,42057,14530,2020-11-01,3.571428571428572,1.28419897449552,0.8998553416829771,1.72458439798537
29,Greene,42059,36233,2020-11-01,6.428571428571429,1.55316856410896,1.19664161278938,1.94804123906548
30,Huntingdon,42061,45144,2020-11-01,24.42857142857143,1.01531295997196,0.8914166653702991,1.14591900154356
31,Indiana,42063,84073,2020-11-01,21.285714285714285,1.1201451956905502,0.97407125708333,1.2747069822029098
32,Jefferson,42065,43425,2020-11-01,6.857142857142858,1.15129365288224,0.894764197820052,1.4345087737154498
33,Juniata,42067,24763,2020-11-01,3.1428571428571432,1.2574626059543899,0.859420889492361,1.7175195263837901
34,Lackawanna,42069,209674,2020-11-01,35.142857142857146,0.821831366816374,0.7377515872084871,0.909693499376297
35,Lancaster,42071,545724,2020-11-01,84.42857142857143,1.12802642344048,1.05286691827273,1.2053522824882
36,Lawrence,42073,85512,2020-11-01,16.714285714285715,0.9861884064719459,0.84175878644204,1.1401164095141498
37,Lebanon,42075,141793,2020-11-01,52.14285714285714,1.06427768817811,0.974456088424855,1.15740512288391
38,Lehigh,42077,369318,2020-11-01,64.57142857142857,1.22100985335523,1.12820484048905,1.31687923204434
39,Luzerne,42079,317417,2020-11-01,69.0,1.05741546570653,0.9796180644229681,1.13769670498475
40,Lycoming,42081,113299,2020-11-01,8.857142857142858,0.9393414700886129,0.7535172932325309,1.1421043109365099
41,McKean,42083,40625,2020-11-01,6.142857142857142,1.19069747660361,0.9116038670579191,1.50052241046989
42,Mercer,42085,109424,2020-11-01,21.857142857142854,1.1950304932253,1.04116660706839,1.35771454790787
43,Mifflin,42087,46138,2020-11-01,12.142857142857142,1.27482697333145,1.05744750021351,1.5090506269449402
44,Monroe,42089,170271,2020-11-01,12.714285714285715,1.20028986902836,1.00003332575757,1.41570130902916
45,Montgomery,42091,830915,2020-11-01,118.14285714285714,1.26731929014336,1.19575654088945,1.34062223819259
46,Montour,42093,18230,2020-11-01,2.4285714285714284,0.9529627294053391,0.615947698891964,1.3499897720829197
47,Northampton,42095,305285,2020-11-01,50.0,1.2118928700835199,1.1074925291576398,1.3202184098365901
48,Northumberland,42097,90843,2020-11-01,14.0,0.7648753475921769,0.6429729299617739,0.8955576488369671
49,Perry,42099,46272,2020-11-01,4.285714285714286,1.07340024516076,0.7771594983692479,1.40894196218058
50,Philadelphia,42101,1584064,2020-11-01,361.8571428571428,1.07921626789566,1.04419597989334,1.1147207997706499
51,Pike,42103,55809,2020-11-01,2.571428571428572,1.47715428936603,0.967299107789955,2.07515068454644
52,Potter,42105,16526,2020-11-01,1.7142857142857142,1.15035465866771,0.6804417085359741,1.7204500157798202
53,Schuylkill,42107,141359,2020-11-01,43.714285714285715,1.0053711932722902,0.9128883300980791,1.1015769703640501
54,Snyder,42109,40372,2020-11-01,5.571428571428571,1.21296464384774,0.9156591009396898,1.5447024981735
55,Somerset,42111,73447,2020-11-01,11.857142857142858,1.01534019887871,0.840244842550005,1.20417037040975
56,Sullivan,42113,6066,2020-11-01,0.42857142857142855,1.59340054346881,0.544273118983153,3.08867013136962
57,Susquehanna,42115,40328,2020-11-01,3.1428571428571432,0.930121976476212,0.6356978351279681,1.27041762431107
58,Tioga,42117,40591,2020-11-01,8.428571428571429,1.17990385114085,0.941018915146001,1.4411282471757099
59,Union,42119,44923,2020-11-01,8.0,1.19484618150654,0.9469796525184789,1.4665245825088502
60,Venango,42121,50668,2020-11-01,11.857142857142858,1.22825956022393,1.01644627281636,1.45668788769275
61,Warren,42123,39191,2020-11-01,1.2857142857142858,1.38220204908995,0.7499006871663879,2.17077823200492
62,Washington,42125,206865,2020-11-01,41.857142857142854,1.14251309837441,1.0351653887389,1.25427860136843
63,Wayne,42127,51361,2020-11-01,1.5714285714285714,1.42955035191958,0.8248758696301299,2.16904653374668
64,Westmoreland,42129,348899,2020-11-01,72.42857142857143,0.9772115256163679,0.90700626509975,1.0496037929365798
65,Wyoming,42131,26794,2020-11-01,8.571428571428571,1.75406265213147,1.40170836347009,2.13908317557236
66,York,42133,449058,2020-11-01,71.28571428571429,1.05285044897707,0.976618141575235,1.13147674017913
