,county_name,fips,population,Date,dailycases_p100k_7d_avg,R_mean,R_low,R_high
0,Adams,42001,103009,2020-10-19,11.142857142857142,1.3840972411029397,1.13829559915655,1.64980617353955
1,Allegheny,42003,1216045,2020-10-19,116.0,1.13596079950268,1.0712339368133899,1.20227626538219
2,Armstrong,42005,64735,2020-10-19,8.857142857142858,1.15172541239837,0.9238866194374129,1.40033268028848
3,Beaver,42007,163929,2020-10-19,14.714285714285715,1.06526761613929,0.899466534071737,1.2427091591351
4,Bedford,42009,47888,2020-10-19,6.142857142857142,1.02658898788422,0.7859615978222829,1.29371214177411
5,Berks,42011,421164,2020-10-19,79.71428571428571,1.1929692748852099,1.1112053923993301,1.27715947101599
6,Blair,42013,121829,2020-10-19,18.428571428571427,1.00828035096633,0.8673635570217819,1.1580122652104898
7,Bradford,42015,60323,2020-10-19,17.571428571428573,0.939643189937332,0.8052860470544471,1.08261270475053
8,Bucks,42017,628270,2020-10-19,38.714285714285715,0.967439550804969,0.8730170044750141,1.06590543464442
9,Butler,42019,187853,2020-10-19,20.714285714285715,1.04950923791749,0.910842415854319,1.1963464656993
10,Cambria,42021,130192,2020-10-19,19.142857142857142,1.16839846853885,1.00805691965942,1.33857682636987
11,Cameron,42023,4447,2020-10-19,0.0,4.99868426611008,0.256398983612002,14.974719781292501
12,Carbon,42025,64182,2020-10-19,4.571428571428571,1.04617076974715,0.7656920366235821,1.36263596043993
13,Centre,42027,162385,2020-10-19,29.142857142857146,0.614499586543905,0.545649685670919,0.686756898044257
14,Chester,42029,524989,2020-10-19,36.285714285714285,0.8944104626338759,0.804318677602583,0.9884895207071859
15,Clarion,42031,38438,2020-10-19,2.4285714285714284,0.95887752061225,0.6197707256703521,1.35836880663164
16,Clearfield,42033,79255,2020-10-19,3.571428571428572,0.983007504079999,0.688806463039211,1.32010649308055
17,Clinton,42035,38632,2020-10-19,2.0,1.19958492682058,0.7394505790251501,1.75031324014341
18,Columbia,42037,64964,2020-10-19,2.7142857142857144,0.6392119551043001,0.423626588120272,0.891037163837499
19,Crawford,42039,84629,2020-10-19,5.285714285714286,1.0991497555236,0.823202666715654,1.4079380959486698
20,Cumberland,42041,253370,2020-10-19,21.428571428571427,1.05464861084576,0.9175580571879549,1.1996778099808798
21,Dauphin,42043,278299,2020-10-19,29.285714285714285,0.950466673552716,0.84422637152258,1.06195175190649
22,Delaware,42045,566747,2020-10-19,63.57142857142857,1.02483832312863,0.946345231993251,1.10594381216814
23,Elk,42047,29910,2020-10-19,3.7142857142857135,1.6633704680183998,1.17409984217921,2.2225468323106203
24,Erie,42049,269728,2020-10-19,13.428571428571427,0.907718756101294,0.760154794957111,1.0661407442319302
25,Fayette,42051,129274,2020-10-19,8.714285714285714,1.17933699671055,0.9442554885784871,1.43602758814132
26,Forest,42053,7247,2020-10-19,0.14285714285714285,0.803307220121887,0.142732233648828,1.9053903094515903
27,Franklin,42055,155027,2020-10-19,14.714285714285715,1.18424629286865,0.9999270534424871,1.3815061046849901
28,Fulton,42057,14530,2020-10-19,0.42857142857142855,0.95755931548906,0.327082727182969,1.85614650935614
29,Greene,42059,36233,2020-10-19,1.5714285714285714,1.11854524150812,0.6454204131884661,1.69716070208663
30,Huntingdon,42061,45144,2020-10-19,19.571428571428573,1.09361220052972,0.945121302015803,1.25111020127296
31,Indiana,42063,84073,2020-10-19,11.285714285714285,0.961889898842902,0.792092624598994,1.14534909427575
32,Jefferson,42065,43425,2020-10-19,1.0,0.702680260943242,0.34965569927103496,1.1548650047005602
33,Juniata,42067,24763,2020-10-19,1.7142857142857142,1.53265420488679,0.9065741924980201,2.29221043363825
34,Lackawanna,42069,209674,2020-10-19,48.57142857142857,1.08076575022698,0.986333053017042,1.17880157612876
35,Lancaster,42071,545724,2020-10-19,52.42857142857143,0.981413809580046,0.898806752674019,1.06705274636264
36,Lawrence,42073,85512,2020-10-19,13.571428571428573,1.18438570420998,0.992811266601121,1.38998013281683
37,Lebanon,42075,141793,2020-10-19,35.0,1.13744326619825,1.02084319358908,1.2592995225925903
38,Lehigh,42077,369318,2020-10-19,24.0,1.0142458130689,0.889417492797315,1.14589577249987
39,Luzerne,42079,317417,2020-10-19,46.0,1.1831671859288602,1.07700337068043,1.29349530421825
40,Lycoming,42081,113299,2020-10-19,7.857142857142858,0.9208214256405071,0.7281920151614479,1.13212909167369
41,McKean,42083,40625,2020-10-19,3.0,1.28506755617611,0.869975463112614,1.76640966172107
42,Mercer,42085,109424,2020-10-19,9.0,1.09677223015112,0.881422746927221,1.33159048643978
43,Mifflin,42087,46138,2020-10-19,5.7142857142857135,0.996306474483848,0.7549122369289442,1.26529389199269
44,Monroe,42089,170271,2020-10-19,9.0,1.24189169362167,0.998048234524762,1.5077799373050702
45,Montgomery,42091,830915,2020-10-19,47.85714285714285,0.998826332157833,0.91091909175978,1.09011307105615
46,Montour,42093,18230,2020-10-19,4.428571428571429,1.03633223536783,0.7544969107559909,1.3549276564139
47,Northampton,42095,305285,2020-10-19,28.285714285714285,0.9710148927548249,0.860635132341737,1.08694124343814
48,Northumberland,42097,90843,2020-10-19,10.0,0.856371496767635,0.696333264540386,1.03011357949941
49,Perry,42099,46272,2020-10-19,7.428571428571429,1.39611202499823,1.09634651311129,1.7257980614712
50,Philadelphia,42101,1584064,2020-10-19,290.85714285714283,1.5029068934953702,1.44855688389353,1.5580957854281798
51,Pike,42103,55809,2020-10-19,1.2857142857142858,1.06418897099353,0.577365690601003,1.67133181034818
52,Potter,42105,16526,2020-10-19,0.5714285714285714,1.31583587204541,0.5184786949894999,2.4089057381399797
53,Schuylkill,42107,141359,2020-10-19,30.857142857142854,1.2911321382971799,1.1504253982318602,1.4386024182863701
54,Snyder,42109,40372,2020-10-19,2.571428571428572,0.735602425284292,0.481701589866424,1.03339636717155
55,Somerset,42111,73447,2020-10-19,7.2857142857142865,1.26441833142993,0.990474401016323,1.5659809840671899
56,Sullivan,42113,6066,2020-10-19,0.14285714285714285,4.83458793111756,0.8590132354037281,11.467315073734
57,Susquehanna,42115,40328,2020-10-19,3.8571428571428568,0.8958813689165391,0.6367361265826049,1.1913354319421898
58,Tioga,42117,40591,2020-10-19,4.714285714285714,1.1458017491086399,0.842842216964515,1.48701754049572
59,Union,42119,44923,2020-10-19,5.428571428571429,0.7899337247125799,0.594009344813626,1.00885603135505
60,Venango,42121,50668,2020-10-19,7.0,1.28288569648338,0.999745961948006,1.5951671875651101
61,Warren,42123,39191,2020-10-19,0.42857142857142855,0.613576495015741,0.209585213238322,1.18936534899122
62,Washington,42125,206865,2020-10-19,19.571428571428573,1.21993736672756,1.0542940101260798,1.3956282525813402
63,Wayne,42127,51361,2020-10-19,2.142857142857143,1.10596442958498,0.6937131976718199,1.59653774626392
64,Westmoreland,42129,348899,2020-10-19,92.28571428571428,1.1158748731277,1.04470958753905,1.1890010180036898
65,Wyoming,42131,26794,2020-10-19,2.142857142857143,1.1177079060958601,0.701079261556177,1.61349028381436
66,York,42133,449058,2020-10-19,58.42857142857143,1.08995164144364,1.00294792823686,1.17997765463436
