,county_name,fips,population,Date,dailycases_p100k_7d_avg,R_mean,R_low,R_high
0,Adams,42001,103009,2020-10-23,13.0,1.23622385476025,1.03213590377621,1.4555812900257799
1,Allegheny,42003,1216045,2020-10-23,123.71428571428572,1.07789740679354,1.01839877708714,1.1388095591166
2,Armstrong,42005,64735,2020-10-23,10.428571428571429,1.23902211466031,1.0120017615832,1.4850663726175601
3,Beaver,42007,163929,2020-10-23,13.857142857142858,1.03405528549996,0.868445905798703,1.21165547547248
4,Bedford,42009,47888,2020-10-23,6.571428571428571,1.13011486371886,0.8733115028927091,1.41422635531656
5,Berks,42011,421164,2020-10-23,85.14285714285714,1.09543562837281,1.0227493903528801,1.17020801238894
6,Blair,42013,121829,2020-10-23,19.428571428571427,0.975188428356589,0.8423102959976899,1.1161569152546398
7,Bradford,42015,60323,2020-10-23,25.42857142857143,1.3190495658520902,1.1611789396961,1.48529641267074
8,Bucks,42017,628270,2020-10-23,45.85714285714285,1.1477607547055502,1.0446173702666801,1.25495636837328
9,Butler,42019,187853,2020-10-23,27.142857142857146,1.30796501310277,1.1562836401073,1.46743053377168
10,Cambria,42021,130192,2020-10-23,22.142857142857146,1.2223516068747702,1.0659517532733198,1.38765765409141
11,Cameron,42023,4447,2020-10-23,0.0,4.999249322275491,0.256427967204239,14.976412538283599
12,Carbon,42025,64182,2020-10-23,4.0,0.9386829256970369,0.671513607243262,1.24258642922626
13,Centre,42027,162385,2020-10-23,36.857142857142854,0.991701659558146,0.8925666075511791,1.0951894441738101
14,Chester,42029,524989,2020-10-23,36.857142857142854,1.0255956583724102,0.9230724065950849,1.13262040878343
15,Clarion,42031,38438,2020-10-23,3.7142857142857135,1.20147342000203,0.848067090242042,1.6053735443025698
16,Clearfield,42033,79255,2020-10-23,6.0,1.28590258912691,0.9812225958193008,1.6245419404397299
17,Clinton,42035,38632,2020-10-23,2.0,1.0918838806326898,0.673061281206671,1.59316674479723
18,Columbia,42037,64964,2020-10-23,3.7142857142857135,1.06844655147227,0.754169291555944,1.42762694428312
19,Crawford,42039,84629,2020-10-23,9.142857142857142,1.2854018259044901,1.03486940854325,1.5584006381756002
20,Cumberland,42041,253370,2020-10-23,28.0,1.04948266336712,0.9295950490225071,1.17542593251105
21,Dauphin,42043,278299,2020-10-23,30.857142857142854,0.9705935300703721,0.8648188788988741,1.08145259351522
22,Delaware,42045,566747,2020-10-23,80.28571428571429,1.19076415746051,1.10943742906745,1.27449550968944
23,Elk,42047,29910,2020-10-23,6.2857142857142865,1.46780275652386,1.12737086673471,1.8452771044764298
24,Erie,42049,269728,2020-10-23,16.857142857142858,1.2467470943641998,1.06490009334489,1.44050116466651
25,Fayette,42051,129274,2020-10-23,9.0,1.1574293817196202,0.930169963246621,1.4052342966518798
26,Forest,42053,7247,2020-10-23,0.14285714285714285,1.4100066555892101,0.250531047612674,3.3444402720721
27,Franklin,42055,155027,2020-10-23,15.142857142857142,1.18770589102389,1.0053617812692601,1.3826646828068603
28,Fulton,42057,14530,2020-10-23,0.42857142857142855,1.02514609409075,0.350168991928108,1.9871576761328797
29,Greene,42059,36233,2020-10-23,1.5714285714285714,1.0703005556218,0.617582375044464,1.62395938493617
30,Huntingdon,42061,45144,2020-10-23,27.857142857142854,1.27927108147672,1.1327711560744198,1.4331902220758401
31,Indiana,42063,84073,2020-10-23,14.285714285714285,1.20955703393721,1.01862839648001,1.4140951975819498
32,Jefferson,42065,43425,2020-10-23,2.142857142857143,1.46506907489122,0.9189606153375749,2.1149306581456
33,Juniata,42067,24763,2020-10-23,2.2857142857142856,1.40718588632653,0.8966373545917399,2.0115460412151
34,Lackawanna,42069,209674,2020-10-23,48.42857142857143,1.05796690247199,0.965393120561974,1.1540781769893798
35,Lancaster,42071,545724,2020-10-23,56.14285714285714,1.08012330609146,0.99220266038187,1.1711606085931598
36,Lawrence,42073,85512,2020-10-23,16.428571428571427,1.26757328474283,1.08039685564452,1.4671686222521498
37,Lebanon,42075,141793,2020-10-23,37.857142857142854,1.10280306057213,0.993989049306805,1.21633009346807
38,Lehigh,42077,369318,2020-10-23,34.285714285714285,1.29926134591054,1.1647313370394499,1.43991984353186
39,Luzerne,42079,317417,2020-10-23,59.57142857142857,1.2823230457720802,1.1809303289004198,1.3872034412705299
40,Lycoming,42081,113299,2020-10-23,6.857142857142858,0.868223364728013,0.6747671895216711,1.08180396124748
41,McKean,42083,40625,2020-10-23,3.1428571428571432,1.14197340915529,0.7804890566331959,1.5597773003727902
42,Mercer,42085,109424,2020-10-23,14.571428571428573,1.37117191801696,1.1567644829920902,1.60070790171227
43,Mifflin,42087,46138,2020-10-23,6.857142857142858,1.12063489050453,0.8709367730302359,1.39630803881869
44,Monroe,42089,170271,2020-10-23,9.142857142857142,1.15997773497869,0.9338912146604741,1.4063384741096498
45,Montgomery,42091,830915,2020-10-23,54.0,1.12559167048182,1.03220803462189,1.22235168511642
46,Montour,42093,18230,2020-10-23,4.285714285714286,1.06164060449853,0.768645324388699,1.39350629290075
47,Northampton,42095,305285,2020-10-23,30.285714285714285,1.00610175179979,0.895458718306558,1.12211415565922
48,Northumberland,42097,90843,2020-10-23,14.714285714285715,1.3063352593771103,1.10301376882745,1.52393142073775
49,Perry,42099,46272,2020-10-23,6.7142857142857135,1.1213086150523501,0.869020426552703,1.4001283013531398
50,Philadelphia,42101,1584064,2020-10-23,256.14285714285717,1.11975454824863,1.07662733683819,1.16359143356015
