"","Date","0.05","Mean","0.95"
"1","2020-03-25",1.20691825222066,1.82112406843077,2.53857771584698
"2","2020-03-26",2.01369687867798,2.71193132114816,3.49568965713246
"3","2020-03-27",2.38230451927609,2.98115606082377,3.63552622576776
"4","2020-03-28",1.39528960143695,1.75305765893706,2.14457890152636
"5","2020-03-29",1.09739402460513,1.38768883644273,1.7061320014734
"6","2020-03-30",1.29838228050027,1.6018381373452,1.93166936590082
"7","2020-03-31",1.5938479286917,1.90325137569945,2.23542129597928
"8","2020-04-01",1.7839491773499,2.07130472272606,2.37649485733967
"9","2020-04-02",1.34612113890961,1.56203541991552,1.79129823670129
"10","2020-04-03",1.21019576854288,1.40110944284642,1.60364699599344
"11","2020-04-04",1.40729988929035,1.60352993463032,1.81041893963811
"12","2020-04-05",1.48653857699879,1.67213282331897,1.86682166596242
"13","2020-04-06",1.46521362987405,1.63294070603048,1.80824447788701
"14","2020-04-07",1.3173112080572,1.46331583165849,1.61571847810145
"15","2020-04-08",1.20234778377479,1.33397125123628,1.47129567799546
"16","2020-04-09",1.93005679376392,2.08957221920742,2.25437855283867
"17","2020-04-10",1.65877884930411,1.78559516558845,1.91631544756199
"18","2020-04-11",1.80625424953772,1.92466044391466,2.04621063911652
"19","2020-04-12",1.54056928250168,1.63700135861214,1.7358823629796
"20","2020-04-13",1.42063275321627,1.50581538925594,1.59307322948041
"21","2020-04-14",1.33899177577413,1.41666057861722,1.49616178759081
"22","2020-04-15",1.26962581696364,1.34153798530246,1.41510806436492
"23","2020-04-16",1.02080001968803,1.08284009615443,1.14641143843737
"24","2020-04-17",1.04571575634719,1.10869825751872,1.17322175950835
"25","2020-04-18",1.03645731519024,1.09884227828068,1.1627526784619
"26","2020-04-19",1.07873327632827,1.14187118159138,1.20651170181283
"27","2020-04-20",0.958844004551366,1.01742466015963,1.07745853523097
"28","2020-04-21",0.900375155780616,0.957447279387471,1.01598647296801
"29","2020-04-22",0.917673908191915,0.976132597582313,1.03610123166445
"30","2020-04-23",1.00948921170426,1.07124536873269,1.134535472902
"31","2020-04-24",0.998885661642979,1.05963345276578,1.12188155866451
"32","2020-04-25",0.800803668517981,0.854829017120428,0.910329154128974
"33","2020-04-26",0.764029263303384,0.81847293891673,0.874483184686491
"34","2020-04-27",0.801466161745014,0.859196120474588,0.918604498544867
"35","2020-04-28",0.891063368445099,0.95324659949348,1.01718351032731
