"","Date","0.05","Mean","0.95"
"1","2020-03-18",0.809660659381284,1.62712223651904,2.67419854202753
"2","2020-03-19",1.12959968499219,2.01419709071734,3.10593205788189
"3","2020-03-20",2.17165251163982,3.20781482274453,4.40935191980795
"4","2020-03-21",1.55659522058931,2.2214437069927,2.98323486793579
"5","2020-03-22",1.46454479255346,2.01161191918264,2.63003362266832
"6","2020-03-23",1.43783046193731,1.91207559648697,2.44198840684332
"7","2020-03-24",1.93840163036927,2.42098540578249,2.94792908463673
"8","2020-03-25",1.73051619391279,2.10698065944059,2.51413779957369
"9","2020-03-26",1.68343848431222,2.00260467561972,2.34475845050265
"10","2020-03-27",1.61507753749857,1.8882915185812,2.17924169384286
"11","2020-03-28",1.32915025713041,1.54990965105813,1.78476126407953
"12","2020-03-29",1.75561277622342,1.99140765462435,2.23957202858992
"13","2020-03-30",1.53549534579364,1.72821487922792,1.93042482857336
"14","2020-03-31",1.35145900549597,1.51551736171773,1.68740645816283
"15","2020-04-01",1.2734215818862,1.42288681969109,1.57926440385565
"16","2020-04-02",1.30988817541147,1.45387241458613,1.60411709300896
"17","2020-04-03",1.36942445355596,1.50815806443696,1.65247642121631
"18","2020-04-04",1.43880745832585,1.57143117444695,1.7089360340513
"19","2020-04-05",1.22875321558288,1.34218106957867,1.45978939600276
"20","2020-04-06",1.2018405200234,1.30951164159933,1.42103961261824
"21","2020-04-07",1.24070139621792,1.34615476489621,1.45520067467247
"22","2020-04-08",1.33663595199989,1.44119233567364,1.54903887873339
"23","2020-04-09",1.33560944925954,1.43388526289693,1.53507737576501
"24","2020-04-10",1.2183613578596,1.30684574553208,1.39792311951708
"25","2020-04-11",1.16783589181584,1.25127693996889,1.33712510804806
"26","2020-04-12",1.10326805723683,1.182095779295,1.26319753535319
"27","2020-04-13",1.07298613770716,1.14931015789594,1.22782659471211
"28","2020-04-14",0.9793373686178,1.0512623326247,1.12531777869571
"29","2020-04-15",1.0235853087588,1.09718118613401,1.17291304161025
"30","2020-04-16",0.962305594877428,1.0330463808176,1.10588447062974
"31","2020-04-17",0.901127931697444,0.969672338648162,1.04031661588706
"32","2020-04-18",1.02722005523208,1.10114412919643,1.17721557293005
"33","2020-04-19",1.07731844590334,1.15186623696553,1.22849936631512
"34","2020-04-20",1.07830313691787,1.15110784649902,1.2259015155804
"35","2020-04-21",1.10878437915244,1.18097998723198,1.25508014199624
"36","2020-04-22",0.997644167889852,1.06441792302332,1.13300061109953
"37","2020-04-23",1.23781335055541,1.31170649657931,1.38739213216267
"38","2020-04-24",1.2540959279945,1.32496777424206,1.39746996523762
"39","2020-04-25",1.048064977412,1.10982025296807,1.17305479904232
"40","2020-04-26",0.895366040154414,0.952000628416493,1.01008806726923
"41","2020-04-27",0.872298520277956,0.92930875879676,0.987828382051263
"42","2020-04-28",0.904829896336336,0.96401070551679,1.02475950219785
"43","2020-04-29",0.935424042071771,0.996106047990983,1.05838314564471
"44","2020-04-30",0.770123616221488,0.825345998772953,0.882166943179877
"45","2020-05-01",0.844261957795818,0.903999757875091,0.965444836244677
"46","2020-05-02",0.930982480423773,0.994660306550819,1.06009960039333
"47","2020-05-03",1.07986680621117,1.14812357049498,1.21813014053041
"48","2020-05-04",1.05625801865403,1.1218337617574,1.18906166561376
"49","2020-05-05",1.09288370850007,1.15816612998535,1.22503312754356
"50","2020-05-06",0.914407458574793,0.972741425574433,1.03258419687035
"51","2020-05-07",0.898327153760059,0.95673240458274,1.01667619743892
"52","2020-05-08",0.884772861180364,0.943440854566106,1.00368393511906
"53","2020-05-09",0.891272678793679,0.950833240102521,1.01200488601467
"54","2020-05-10",0.9205065121835,0.981543951664032,1.04422009194371
"55","2020-05-11",0.913083819439611,0.974006495620314,1.03657461693135
"56","2020-05-12",0.833458589929268,0.891921784427952,0.952041925413062
"57","2020-05-13",0.934302145508285,0.997333823677934,1.06208614577837
"58","2020-05-14",0.897447579673734,0.959135985632955,1.02253897119553
"59","2020-05-15",0.818166261429657,0.877422521192405,0.938410657879505
"60","2020-05-16",0.798047766817076,0.85785289230942,0.919464139747366
"61","2020-05-17",0.729991566614611,0.788610872061721,0.849121677583057
"62","2020-05-18",0.807359327372539,0.871127828436144,0.936921662761514
"63","2020-05-19",0.778873622122126,0.842570061407591,0.908358014596118
"64","2020-05-20",0.883602838803258,0.952795099358712,1.02416691257667
"65","2020-05-21",0.851401000345372,0.91938970618898,0.989560572008067
"66","2020-05-22",0.791939001858206,0.858100381285659,0.926478953858536
"67","2020-05-23",0.843379699513753,0.913083384924991,0.985099046114333
"68","2020-05-24",0.820242216647645,0.889698448898158,0.961512455716638
"69","2020-05-25",0.741127219297193,0.808176837253406,0.877650701222661
"70","2020-05-26",0.710640367716,0.778358676667457,0.848649302750702
"71","2020-05-27",0.587171083404056,0.651060295699561,0.717700903514642
"72","2020-05-28",0.585065835665615,0.652642717611913,0.723298051453505
"73","2020-05-29",0.671170718550319,0.747327705007367,0.826896532552929
"74","2020-05-30",0.599302331271646,0.67354328910421,0.751395768316085
"75","2020-05-31",0.666144552929089,0.747825806617781,0.833442645284141
"76","2020-06-01",0.673771788357494,0.75833667163711,0.847065927357346
"77","2020-06-02",0.688167277186345,0.775944029024324,0.868109004862925
"78","2020-06-03",0.749218439724275,0.843004513569626,0.941397659034718
"79","2020-06-04",0.709814100489628,0.802395411305146,0.899702580617003
"80","2020-06-05",0.713720166444435,0.808723833614768,0.908669836979434
"81","2020-06-06",0.780599986876807,0.882124936970808,0.988818554455384
