"","Date","0.05","Mean","0.95"
"1","2020-03-23",1.2482310646806,2.30071470111408,3.61332223065393
"2","2020-03-24",2.43512937103183,3.63399849745831,5.02911108567821
"3","2020-03-25",1.79641116649637,2.54501122938779,3.40056935891701
"4","2020-03-26",1.71876623167852,2.31473566194377,2.98370296082082
"5","2020-03-27",1.97264652448006,2.5059821258646,3.09203068123789
"6","2020-03-28",1.51611161971459,1.90098829053089,2.32185692112577
"7","2020-03-29",1.85031967605534,2.22567560235427,2.62977125013252
"8","2020-03-30",2.24895964159341,2.59807330542828,2.96812986655348
"9","2020-03-31",2.06658105074081,2.33689741032449,2.62104903128578
"10","2020-04-01",1.97611371863109,2.19698831404411,2.42761881144497
"11","2020-04-02",2.00305936050778,2.19246217388663,2.38900683923885
"12","2020-04-03",1.82241355173692,1.97654003944124,2.13589234208442
"13","2020-04-04",1.94029513055534,2.07980252801224,2.22335885805243
"14","2020-04-05",1.6250257432066,1.73563200875516,1.84928348897047
"15","2020-04-06",1.4570529615592,1.55228061005567,1.65002947514045
"16","2020-04-07",1.40815333669268,1.49563524161102,1.58532267347433
"17","2020-04-08",1.38420176773275,1.46576327721341,1.5492784908158
"18","2020-04-09",1.23944296310929,1.31225196106787,1.38679985695565
"19","2020-04-10",1.13438864913931,1.20168571346569,1.27060541874826
"20","2020-04-11",0.93874894070013,0.998981724933438,1.06078111110063
"21","2020-04-12",0.894464103260186,0.954237936037034,1.01562862230806
"22","2020-04-13",0.825896855134132,0.88454108285943,0.944867012653378
"23","2020-04-14",0.788210453046812,0.847162955779322,0.907892492935268
"24","2020-04-15",0.665282115372997,0.721269995098137,0.779147281761809
"25","2020-04-16",0.626065136090969,0.683355570496411,0.742740025701077
"26","2020-04-17",0.644500158557822,0.70591583776664,0.769664425257358
"27","2020-04-18",0.697152163951616,0.763898339603256,0.833191250312427
"28","2020-04-19",0.717000397512907,0.786753550578847,0.859208864582583
"29","2020-04-20",0.732472403926593,0.804795232264947,0.879959432160972
"30","2020-04-21",0.656761892911865,0.726960729245353,0.80013227927794
"31","2020-04-22",0.719835819295655,0.796183937243506,0.875741666450496
"32","2020-04-23",0.721395363907427,0.799731638267406,0.881435081766472
"33","2020-04-24",0.708081324504719,0.787563027362727,0.870569498125896
"34","2020-04-25",0.736917182600596,0.820171479040057,0.907140347258166
"35","2020-04-26",0.822063303477831,0.911691535622398,1.00518697011298
"36","2020-04-27",0.831400960504083,0.921864462487847,1.01622378451854
"37","2020-04-28",0.871197880336142,0.964136200352153,1.06100297208463
"38","2020-04-29",0.820180232478591,0.910335276990254,1.00441026567301
"39","2020-04-30",0.837734595877914,0.929819233850831,1.02590771477923
"40","2020-05-01",0.813439449745511,0.904943443639023,1.00051355079935
"41","2020-05-02",0.823275415343955,0.916488211996294,1.01386840025475
"42","2020-05-03",0.78006960290074,0.871842715713498,0.967869390671777
"43","2020-05-04",0.765311701301302,0.857985543416448,0.955072576932157
"44","2020-05-05",0.728650315639131,0.821087027957944,0.918121526337499
"45","2020-05-06",0.739977755392974,0.835678184718973,0.936225183609074
"46","2020-05-07",0.748544351499674,0.847022588166663,0.950568269878746
"47","2020-05-08",0.712639957652785,0.810745770412229,0.914117617128065
"48","2020-05-09",0.618454731319193,0.712608396859162,0.812309702677557
"49","2020-05-10",0.830645930164909,0.944281218656925,1.06398061087702
"50","2020-05-11",0.802550623699815,0.914095597413485,1.03168141804509
"51","2020-05-12",0.800683647710812,0.912691827068535,1.03080251341997
"52","2020-05-13",0.773983010366366,0.885187942646924,1.00260366233228
"53","2020-05-14",0.712958435817288,0.821499363245644,0.936435644666922
"54","2020-05-15",0.746636635388671,0.860741734614425,0.981593884265003
"55","2020-05-16",0.848685568210863,0.972328644725992,1.10296657263078
"56","2020-05-17",0.57639445727576,0.678778463477052,0.788112140314333
"57","2020-05-18",0.618016205930571,0.730106815484149,0.849951925031088
"58","2020-05-19",0.665069387496911,0.786340405750623,0.916041933359958
"59","2020-05-20",0.700213623712358,0.827892961747013,0.964448302220841
"60","2020-05-21",0.815675477388425,0.955629703188518,1.10478798865839
"61","2020-05-22",0.89861279583208,1.04460651802742,1.19973295030023
"62","2020-05-23",0.790253641396856,0.925200812150904,1.06898412154185
