"","Date","0.05","Mean","0.95"
"1","2020-04-10",0.902936634954491,2.07332156152576,3.6328169922278
"2","2020-04-11",0.916450898393584,1.9526757518561,3.30347983348104
"3","2020-04-12",0.915102588479078,1.83902200651354,3.02245882835214
"4","2020-04-13",0.505951821671393,1.16176571019007,2.03561391116785
"5","2020-04-14",0.52983069888542,1.21659634733147,2.13168664489053
"6","2020-04-15",0.540295683470883,1.24062602709208,2.17379078858538
"7","2020-04-16",0.405331841164352,1.02868291762127,1.88321373176467
"8","2020-04-17",0.434075930300374,1.1016319200778,2.01676174815669
"9","2020-04-18",0.450409511420944,1.14308456252022,2.0926492584169
"10","2020-04-19",0.317236804509194,0.928734635393419,1.80027234210885
"11","2020-04-20",0.349608971829705,1.02350659307917,1.98397964420263
"12","2020-04-21",0.371203021634118,1.08672480006747,2.10652271002739
"13","2020-04-22",0.733482716242754,1.68422176232691,2.95104703023416
"14","2020-04-23",0.781334804273003,1.66478480086545,2.81643432685492
"15","2020-04-24",0.809784814521148,1.6273717430086,2.67460860949242
"16","2020-04-25",0.705370774386235,1.41753765444347,2.32974329998194
"17","2020-04-26",1.01864381110709,1.81635089675446,2.80084928361357
"18","2020-04-27",1.25172182582898,2.0306247333207,2.9628826413434
"19","2020-04-28",1.29340490402981,1.97514769370546,2.77474676692868
"20","2020-04-29",0.944175990659672,1.46078072978701,2.0693768849689
"21","2020-04-30",0.861660684465786,1.33311727467597,1.88852578413286
"22","2020-05-01",0.705561562204416,1.12485389250105,1.6238060197684
"23","2020-05-02",0.770228803313158,1.20879985170588,1.72795689606294
"24","2020-05-03",0.585693477467798,0.968781806698279,1.43023812078844
"25","2020-05-04",0.449991477550751,0.802382947669275,1.23729049721555
"26","2020-05-05",0.268106636166019,0.571253002502111,0.966429153323291
"27","2020-05-06",0.325932841684522,0.694462908821976,1.17487207602865
"28","2020-05-07",0.369057814860794,0.786348998484125,1.33032228013335
"29","2020-05-08",0.482122488697149,0.968890130693148,1.59238471255086
"30","2020-05-09",0.663448377617088,1.22285486958658,1.92052003796951
